Hand Name,Number of hands played,Number of hand wins,Number of hand losses,Hand win percent,Hand loss percent
High Card,30234,172,30062,0.569%,99.431%
Pair,25069,5934,19135,23.671%,76.329%
Two Pair,2932,2267,665,77.319%,22.681%
Three of a kind,1332,1217,115,91.366%,8.634%
Straight,214,209,5,97.664%,2.336%
Flush,99,98,1,98.99%,1.01%
Full House,84,83,1,98.81%,1.19%
Four of a kind,14,14,0,100.0%,0.0%
Straight Flush,0,0,0,Ulozenie nie wylosowane,Ulozenie nie wylosowane
Royal Flush,0,0,0,Ulozenie nie wylosowane,Ulozenie nie wylosowane
